Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
GirnarSoft acquires Help On Wheels,Help On Wheels,GirnarSoft,04/07/2016,
YouStake acquires TastyStakes,TastyStakes,YouStake,04/07/2016,
Airbnb acquires ChangeCoin,ChangeCoin,Airbnb,04/13/2016,
Lendix acquires Finsquare,Finsquare,Lendix,04/19/2016,
Cobra Electronics Corporation acquires WASPcam,WASPcam,Cobra Electronics Corporation,04/19/2016,
LogiNext Solutions acquires YourGuy,YourGuy,LogiNext Solutions,04/25/2016,
Taringa! acquires Spiral App,Spiral App,Taringa!,08/24/2015,
InVision acquires Easee,Easee,InVision,04/26/2016,
Litmus acquires Curated,Curated,Litmus,04/26/2016,
Craftsvilla acquires F2SO4,F2SO4,Craftsvilla,04/28/2016,
DRIVEU acquires CallAtHome,CallAtHome,DRIVEU,05/02/2016,
"Veristat, Inc. acquires Spero Oncology",Spero Oncology,"Veristat, Inc.",05/02/2016,
Nesta.Co acquires wikileaf,wikileaf,Nesta.Co,05/02/2016,
Bionaturis acquires Zera Intein Protein Solutions,Zera Intein Protein Solutions,Bionaturis,05/03/2016,
Google acquires Skillman & Hackett,Skillman & Hackett,Google,04/16/2015,
Shopwings acquires Grocery Butler,Grocery Butler,Shopwings,05/12/2016,
"Apprenda acquires Kismatic, Inc.","Kismatic, Inc.",Apprenda,05/19/2016,
Gordon Brothers Group acquires Blast–Off Brands,Blast–Off Brands,Gordon Brothers Group,05/18/2016,
ContraVir Pharmaceuticals acquires Ciclofilin Pharmaceuticals,Ciclofilin Pharmaceuticals,ContraVir Pharmaceuticals,05/31/2016,"$17,000,000"
Mosaic acquires Contend,Contend,Mosaic,06/02/2016,"$27,000,000"
EWTN Global Catholic Network acquires ChurchPOP,ChurchPOP,EWTN Global Catholic Network,06/02/2016,
Branding Brand acquires Waysay,Waysay,Branding Brand,06/08/2016,
Stylofie acquires Hyve - Book Salon & Spa,Hyve - Book Salon & Spa,Stylofie,01/19/2016,
Pick My Solar Corp. acquires Solar Merchant,Solar Merchant,Pick My Solar Corp.,06/15/2016,
Sussex Strategy Group acquires Adrenaline Digital,Adrenaline Digital,Sussex Strategy Group,06/08/2016,
Aroluxe acquires Intellio LLC,Intellio LLC,Aroluxe,06/09/2016,
Digital Domain Holdings acquires Digital Funk Machine,Digital Funk Machine,Digital Domain Holdings,06/10/2016,
Giftxoxo acquires BookMyInterest,BookMyInterest,Giftxoxo,06/13/2016,
FICO (Fair Isaac Corporation) acquires QuadMetrics,QuadMetrics,FICO (Fair Isaac Corporation),06/14/2016,
Indie Boards and Cards acquires Action Phase Games,Action Phase Games,Indie Boards and Cards,06/13/2016,
Stockpile acquires SparkGift,SparkGift,Stockpile,06/16/2016,
Twitter acquires Magic Pony Technology,Magic Pony Technology,Twitter,06/20/2016,"$150,000,000"
Gympik acquires OyoFit,OyoFit,Gympik,06/20/2016,
MassVenture acquires Equity Brick,Equity Brick,MassVenture,06/20/2016,
Quick Heal Technologies acquires Junco Technologies LLP,Junco Technologies LLP,Quick Heal Technologies,06/22/2016,
Axactor acquires CS Union S.p.A.,CS Union S.p.A.,Axactor,06/22/2016,
GuestToGuest acquires Trampolinn,Trampolinn,GuestToGuest,06/23/2016,
Fareportal acquires Tripcombi UG,Tripcombi UG,Fareportal,06/23/2016,
Tradeshift acquires Hyper Travel,Hyper Travel,Tradeshift,06/23/2016,
Adways Inc. acquires Pocket Money,Pocket Money,Adways Inc.,06/27/2016,
Wizeline acquires Wize Services,Wize Services,Wizeline,06/29/2016,
Conclusion acquires Enterprise Modules,Enterprise Modules,Conclusion,06/21/2016,
BuildTraders acquires Cozilla,Cozilla,BuildTraders,07/05/2016,
Hornet Networks acquires Vespa,Vespa,Hornet Networks,07/05/2016,
FUTR acquires ECMC Servicing Corp.,ECMC Servicing Corp.,FUTR,07/06/2016,
Domain Group acquires Compare And Connect,Compare And Connect,Domain Group,07/06/2016,
Threepipe acquires Spot Digital,Spot Digital,Threepipe,07/12/2016,
AppPoint Software Solutions acquires HireCanvas,HireCanvas,AppPoint Software Solutions,07/13/2016,"$5,000,000"
Infineon Technologies acquires Wolfspeed,Wolfspeed,Infineon Technologies,07/14/2016,"$850,000,000"
