active,byline,city,currency,description,end_date,funded_amt,funded_pct,headline,state,title,url
1,Mark Bollobas,London,$,Take learning and playing with LEGO® to the next level with sensors! Build creations with SBrick Plus and make them interactive!,2016-11-07,50443.0,100%,Connect. Code. Create. With SBrick Plus,England,Connect.,https://www.kickstarter.com/projects/sbrick/connect-code-create-with-sbrick-plus?ref=category
1,STEMTera,Niwot,$,"The world's first Arduino compatible built-in breadboard with Arduino shields, LEGO® bricks and native USB support.",2016-10-28,48279.0,137%,STEMTera Breadboard - Arduino compatible built-in breadboard,CO,STEMTera Breadboard - Arduino compatible built-,https://www.kickstarter.com/projects/stemtera/stemtera-breadboard-arduino-compatible-built-in-br?ref=category
1,Dexter Industries,Reston,$,Learn to code like a spy with robots! Capture-the-flag engineering adventure teaches coding skills using robots and the Raspberry Pi.,2016-11-04,7957.0,26%,Spy v. sPi Robot Coding Missions: Code. Capture. Defend.,VA,Spy v. sPi Robot Coding Missions:,https://www.kickstarter.com/projects/john-cole/spy-v-spi-robot-missions-code-capture-defend?ref=category
1,AERVIDEO,Enschede,€,"AER lets you shoot aerial photos and videos, simply by throwing your GoPro®! Compatible with GoPro® HERO 3+, 4 and 5.",2016-11-03,85471.0,122%,AER - Throw your GoPro®,Overyssel,AER -,https://www.kickstarter.com/projects/1025667430/aer-throw-your-gopro?ref=category
1,Flag,Venice,$,"An app that delivers 20 free photo prints a month, with no shipping or handling fees, more detail, better color and 300 year longevity.",2016-10-28,235602.0,2356%,Flag・free photo prints - forever!,CA,Flag・free photo prints -,https://www.kickstarter.com/projects/flag/flagfree-photo-prints-forever?ref=category
1,Stefan Ponsold,Graz,€,6 Watt flexible solar system with less than 200 grams + 5000mAh power bank. Support us now and don't think about empty batteries again.,2016-10-23,54423.0,247%,SunnyBAG LEAF+ The world's strongest and lightest solarpanel,Styria,SunnyBAG,https://www.kickstarter.com/projects/sunnybag/sunnybag-leaf?ref=category
1,Petunia Tech,Pasadena,$,"The new generation of programmers that uses WiFi instead of cables.
Program, control and monitor Robots, AVR and Arduino over WiFi.",2016-11-07,4692.0,11%,Build Your Own WiFi-Robot with WiLoader !,CA,Build Your Own WiFi-,https://www.kickstarter.com/projects/petuniatech/wiloader-the-wifi-programmer-for-avr?ref=category
1,Ben Kardoosh,Sheffield,£,The next generation drone claw from Mantis Technology,2016-11-01,3473.0,34%,Mantis Carbon,England,Mantis Carbon,https://www.kickstarter.com/projects/465382488/mantis-carbon?ref=category
1,codebender,Patras,$,"Easy-to-use professional Cloud IDE for ESP8266 & ESP32 w USB & OTA programming. Ideal for Arduino, Makers, H/W Hackers, & IoT products.",2016-10-26,5809.0,9%,codebender:esp - Cloud IDE with Over-the-Air Updates for ESP,Peloponnese Western Greece and the Ionian Islands,codebender:esp - Cloud IDE with Over-the-,https://www.kickstarter.com/projects/1014603132/codebender-esp-cloud-ide-with-over-the-air-updates?ref=category
1,Fuzure Innovations LLC.,Ogden,$,Smartkase makes your iPhone Dual Sim capable - Doubles its Battery Life & Lets you add a Memory Card to your iPhone.,2016-11-11,90803.0,181%,Smartkase for iPhone 7 - Dual Sim +Memory Card +Battery Case,UT,Smartkase for iPhone 7 -,https://www.kickstarter.com/projects/1490144222/smartkase?ref=category
1,Aalberg Audio,Trondheim,kr,"World’s first wireless preset and expression controller: Bluetooth control of all your favourite amplifiers, stompboxes and MIDI units",2016-11-05,71459.0,28%,MOON Switcher: Wireless Control of All Your Guitar Gear,Sor-Trondelag,MOON Switcher:,https://www.kickstarter.com/projects/696333214/moon-switcher-wireless-control-of-all-your-guitar?ref=category
1,Team Hicat,Shenzhen,$,"Livera aims to bring low cost machine vision features to let more people DIY their own robot, spoting and collecting more fun in life",2016-11-16,36094.0,721%,Hicat.livera - Start making your first machine vision robot,Guangdong,Hicat.livera -,https://www.kickstarter.com/projects/945994322/hicatlivera-start-making-your-first-machine-vision?ref=category
1,Joobot Inc,Houston,$,"WiFi-enabled DSLR remote with live-view, time-lapse, four built-in triggering sensors, and shoot & push to make photography more fun!",2016-11-13,64268.0,214%,CamBuddy Pro: World's First Do-It-All DSLR Smart Controller,TX,CamBuddy Pro: World's First Do-It-,https://www.kickstarter.com/projects/881726279/cambuddy-pro-worlds-first-all-in-one-dslr-smart-co?ref=category
1,Trinity Audio Engineering,Derbyshire,£,"Phantom Air is the NEW benchmark for wireless earbuds. Tuneable, high quality sound and high battery life that recharges on the go.",2016-10-26,87062.0,133%,World's First Tuneable Wireless Earbuds,England,World's,https://www.kickstarter.com/projects/157887895/worlds-first-tuneable-wireless-earbuds?ref=category
1,"Daniela, Daniel, and Oluwaseyi",London,£,The first 3D creation tool designed for touch and gesture input. Popular on tablet - and soon for desktop and VR.,2016-10-29,6689.0,13%,Gravity Sketch - An Intuitive 3D Design Tool for Everyone,England,Gravity Sketch -,https://www.kickstarter.com/projects/gravitysketch/gravity-sketch-vr-an-intuitive-3d-design-tool-for?ref=category
1,I AM Cardboard,Hong Kong,$,Create and share better spherical panoramas on your smartphone with the Orbit 360 and our new super-compact virtual reality viewers.,2016-10-17,60967.0,304%,Orbit 360: A better way to take spherical panoramas,Hong Kong Island,Orbit 360:,https://www.kickstarter.com/projects/imcardboard/orbit-360-a-better-way-to-take-spherical-panoramas?ref=category
1,Brett Pipitone,Cincinnati,$,mimic immerses the user in it's world.  Through revolutionary controls and immersion goggles you become an adorable 12 inch tall robot.,2016-11-05,10307.0,4%,mimic: immersion robot,OH,mimic:,https://www.kickstarter.com/projects/713401305/mimic-immersion-robot?ref=category
1,NXROBO,Mckinney,$,"BIG-i is here to help you and your family. Simply tell BIG-i what needs to be done, it brings convenience of the future into your home.",2016-11-04,145610.0,145%,BIG-i: The First Personalized Family Robot,TX,BIG-i:,https://www.kickstarter.com/projects/759625594/big-i-the-first-personalized-family-robot?ref=category
1,Robo,San Diego,$,"Features Wi-Fi connectivity, built-in color touch screens and more, all powered by The Robo App",2016-10-21,315123.0,315%,Robo C2 and Robo R2 Smart 3D Printers,CA,Robo,https://www.kickstarter.com/projects/1238702276/robo-c2-and-robo-r2-smart-3d-printers?ref=category
1,JP,Amsterdam,€,"Since time is so important in our way of thinking and acting, we would like you to enjoy time. Get a smile on your face with Cucu!",2016-11-07,4829.0,1%,CuCu - reinventing the cuckoo clock & control it via an app,North Holland,CuCu -,https://www.kickstarter.com/projects/1857513715/cucu-reinventing-the-cuckoo-clock-and-control-it-v?ref=category
1,Jaime Ruiz-Avila,Austin,$,World's first desktop holographic display.  It draws objects in air with light.,2016-11-11,9332.0,20%,Holovect: Holographic Vector Display,TX,Holovect:,https://www.kickstarter.com/projects/2029950924/holovect-holographic-vector-display?ref=category
1,Arenar,Amsterdam,€,"Experience lucid dreams - Improve sleep with music that intelligently adjusts to your sleep phases - Wake up refreshed, every time!",2016-10-27,464223.0,928%,iBand+: EEG headband that helps you Sleep and Dream!,North Holland,iBand+:,https://www.kickstarter.com/projects/arenar/iband-eeg-headband-that-helps-you-sleep-and-dream?ref=category
1,Tony Pearce,Alpine,$,"No more lumpy foam, stabby feathers and melty memory foam. Introducing the Purple® Pillow, the first innovation in pillows since geese.",2016-10-22,1342451.0,5369%,Purple® Pillow: The World's First No-Pressure Head Bed,UT,Purple® Pillow: The World's First No-,https://www.kickstarter.com/projects/227992716/purple-pillow-the-worlds-first-no-pressure-head-be?ref=category
1,Hind Technology,Sydney,$,"MASSO, The All-In-One CNC Controller that doesn't need a PC to run.",2016-10-23,16842.0,18%,"MASSO, The All-In-One CNC Controller",NSW,"MASSO, The All-In-",https://www.kickstarter.com/projects/hindtechnology/masso-the-all-in-one-cnc-controller?ref=category
1,Team Dreampad,Denver,$,"The Dreampad is a mind-relaxing, sleep-inducing luxury pillow that plays music through gentle vibration that only you can hear.",2016-11-10,78069.0,156%,Dreampad Pillow: Reduce Stress. Improve Sleep. Guaranteed.,CO,Dreampad Pillow:,https://www.kickstarter.com/projects/682754329/dreampad-pillow-reduce-stress-improve-sleep-guaran?ref=category
